WARNING:tornado.access: 404 GET / (127.0.0.1) 0.98ms (2015-12-25 10:32:40; web.py:1946)
WARNING:tornado.access: 404 GET / (127.0.0.1) 0.38ms (2015-12-25 10:32:41; web.py:1946)
INFO:tornado.access: 200 GET /christmas (127.0.0.1) 21.23ms (2015-12-25 10:32:45; web.py:1946)
INFO:tornado.access: 200 POST /christmas (127.0.0.1) 9.08ms (2015-12-25 10:32:47; web.py:1946)
INFO:tornado.access: 200 GET /christmas (10.155.45.52) 1.89ms (2015-12-25 10:33:52; web.py:1946)
INFO:tornado.access: 200 GET /static/css/apps/christmas/gift.css?v=0522e45c9cb8e6c178e3bc891d34b5bb (10.155.45.52) 7.92ms (2015-12-25 10:33:52; web.py:1946)
INFO:tornado.access: 200 GET /static/js/libs/jquery.min.js?v=3576a6e73c9dccdbbc4a2cf8ff544ad7 (10.155.45.52) 1.68ms (2015-12-25 10:33:52; web.py:1946)
INFO:tornado.access: 200 GET /static/js/apps/christmas/zm.js?v=bce0a4c8c7735cbaeb200cc47ce63ddd (10.155.45.52) 1.93ms (2015-12-25 10:33:53; web.py:1946)
INFO:tornado.access: 200 GET /static/img/apps/christmas/cover.jpg?v=b6b5d9b4487090107c22c8e0b8d95f0a (10.155.45.52) 2.48ms (2015-12-25 10:33:53; web.py:1946)
INFO:tornado.access: 200 POST /christmas (10.155.45.52) 2.06ms (2015-12-25 10:33:59; web.py:1946)
INFO:tornado.access: 200 GET /static/img/utils/wechat_share.png?v=ace02c3bad1299e19a6361ab015e22fa (10.155.45.52) 2.59ms (2015-12-25 10:33:59; web.py:1946)
INFO:tornado.access: 200 GET /static/img/apps/christmas/0.gif?v=3855915f87d75e7355f25b2614de9a72 (10.155.45.52) 1.51ms (2015-12-25 10:33:59; web.py:1946)
